,unimodal,moment_1,moment_2,moment_3,moment_4,q10,q20,q30,q40,q50,q60,q70,q80,q90
0.48828125,1.0,509.2426796901375,169810.55528458024,170209939.86390817,289294055304.843,169.05283508606672,206.4504653519343,266.26761492986776,347.14591764708456,409.44415709995894,474.90995101901734,569.3568089376398,689.4604964100039,832.7526207170105
0.9765625,1.0,5.778043185403328,4.867279537819456,7.412353768339751,78.07254212980618,3.29810744396197,3.750815798664546,4.5153495177501695,5.104826180763228,5.419231989168344,5.969460910376578,6.635037035967763,7.440029047037681,8.837004561759326
1.46484375,1.0,0.5068412823874698,0.07178489796369991,0.03207283352682064,0.03608608196078621,0.22781347674500918,0.28170083616220637,0.35157126149110374,0.3852854040184516,0.4712237339407561,0.538353578309134,0.5625347977117066,0.6307481140546455,0.8379971852010956
1.953125,1.0,0.12409586286823318,0.0070935018484952405,0.0011050680954653846,0.0003157569488571502,0.05308151818953538,0.0665451309565948,0.07118412090792213,0.08393576773747871,0.09072250205815321,0.11233423930724834,0.13025886799817074,0.16157364705604357,0.2208809157612676
2.44140625,1.0,0.04271038574035641,0.0009551484009180696,6.315181702326871e-05,7.027639904453655e-06,0.0178290191289927,0.021291663544399726,0.02477743405533991,0.029430675419107946,0.033090638543192816,0.038389543002660974,0.04318625158603959,0.052681349815665704,0.07402843540796684
2.9296875,1.0,0.020129718969074346,0.00026437777207897984,1.0661115004335766e-05,6.524339692612932e-07,0.008191034313610322,0.010909523409775647,0.011808015485075313,0.013615327551150353,0.014925854467726884,0.017186531095051596,0.019598384440673768,0.02370247761029838,0.03821196169089803
3.41796875,0.0,0.019158120831079012,0.0001568797337660872,5.549105745308305e-06,2.69009606091251e-07,0.010735538350069018,0.012283677362107776,0.013019772053575955,0.013900786662501056,0.015269282664219327,0.017693266302367876,0.019032899788132825,0.021407275066839104,0.027097383505648647
3.90625,1.0,0.011981537593915988,5.1048890534511506e-05,1.2022021086661795e-06,4.1605674267486e-08,0.007020841827096944,0.007855754644534788,0.008814163012666514,0.009257743403576723,0.01013905230441917,0.010813259596773582,0.011919010806499892,0.014317924140622369,0.016689415641641305
4.39453125,1.0,0.003160526055925515,1.1176482007250763e-05,1.7375443446652038e-07,4.013922647663236e-09,0.00118931427916879,0.0014141485447928168,0.001732566138919472,0.0019246901034034502,0.002144851668241231,0.0025351721929020646,0.0028769589350993163,0.0035367997411973376,0.006768907955645015
4.8828125,1.0,0.0018272837833763365,4.325680961287453e-06,4.6367130465737674e-08,7.214810865002437e-10,0.0006388821100143371,0.0008117027813569784,0.0009286474257010345,0.0010524654276577684,0.0012103924025761745,0.0013955268243894077,0.0016760798674623739,0.0021549062017629096,0.003771357302476019
5.37109375,1.0,0.0014075797745429627,3.885119857613427e-06,4.0054651269000116e-08,5.184258584357977e-10,0.00048494487966485833,0.0005693357381820064,0.0006421776823274744,0.0007756902124382904,0.0008518288031517406,0.001051715038524925,0.0012503720504720283,0.0015036327479296216,0.0022631185144829182
5.859375,1.0,0.001115317851900457,3.236278270465507e-06,4.142187855577839e-08,6.513190231749427e-10,0.0003817163779810414,0.00047004857723374885,0.0005580205611194341,0.0006024315106802837,0.0006842492173293514,0.0007922649676750858,0.0009268069581411701,0.001211711858721551,0.0018506079024342302
6.34765625,1.0,0.000617906532038986,3.5259608415181626e-07,6.676118577595721e-10,1.8377136370888334e-12,0.00025493166180492566,0.0002938107685249022,0.00032617372123757815,0.0003617969640559654,0.00042246485114304493,0.0004653794171183561,0.000564391630404437,0.0007483626675514817,0.0012058113533654523
6.8359375,1.0,0.0003873823713745139,1.2275267356749838e-07,1.292656833500265e-10,2.1446237726841877e-13,0.00015516130952707366,0.00018035579365645627,0.00020299753437901633,0.00022233812691401032,0.0002833063671831992,0.00033167640167990005,0.0003606062409944852,0.00047130529727148546,0.0007818930343964493
7.32421875,1.0,0.000376219577451877,1.0427369690265662e-07,1.4997312769580104e-10,3.352222385191087e-13,0.00015540016971532687,0.00020180008595672514,0.00023661284877541096,0.0002578168651649734,0.00029620913499986217,0.0003249429836185693,0.0003728844020863251,0.0004596888093006798,0.0006412624356910348
7.8125,1.0,0.0002472132401300768,5.200735525548015e-08,4.648838186930115e-11,6.315345596091443e-14,0.00010897611669911387,0.0001243163762529423,0.00014122002433894048,0.00016228806995590981,0.00018400331716239118,0.0001993792132010621,0.00023156953122464738,0.0002894059746316744,0.00046105522802981344
8.30078125,1.0,0.00015481681671727695,1.4882812379882875e-08,4.576266936335064e-12,2.3072769924854826e-15,5.7486423878571835e-05,7.59968336001026e-05,9.074962102841787e-05,0.00010917251155105746,0.00012185042655104498,0.00013188062598761045,0.0001564110863387317,0.0001944256328222311,0.00027551975716497254
8.7890625,1.0,0.0001247669473045252,9.170127057355304e-09,2.3329603544782387e-12,9.983953839356537e-16,4.960328625986352e-05,6.23715890903852e-05,7.667449169549652e-05,8.723808743103794e-05,9.652540825675326e-05,0.00011489854165566544,0.00012861875503424148,0.00015323608079871574,0.0002287617615671529
9.27734375,1.0,0.000122208773186108,6.919346545352802e-09,1.3511653862520718e-12,4.3276144093940484e-16,5.324204597327966e-05,6.391587998812791e-05,7.874289919827911e-05,9.419023394221147e-05,0.00010477428041830386,0.00011070589394838177,0.00012385138699117298,0.00014872746916581555,0.00020316807517227643
9.765625,1.0,0.00018460974093109875,8.178401388193007e-09,9.993972184987172e-13,3.53563947806317e-16,9.814767326331566e-05,0.00011161879436475631,0.00012712989317897305,0.0001396566274678767,0.00016761739544304415,0.00019365230157812927,0.00021824103484387842,0.0002447930389743547,0.0002823116038510695
10.25390625,1.0,0.0002547378484541165,1.575035099682377e-08,2.822594102710622e-12,1.3730483658239743e-15,0.00012345960660529515,0.0001568184633823641,0.0001824773920425311,0.00021042757479296624,0.0002277247531527781,0.0002610957474297386,0.00029118667639400794,0.00032647386218918065,0.0003910711239018803
10.7421875,1.0,0.00030639021823468984,2.2146738065656206e-08,5.156776399410868e-12,3.621377607133576e-15,0.00015796291807147045,0.00018519048666622507,0.0002147633011385128,0.0002460723749925088,0.0002854517382852773,0.0003069935570588855,0.0003456899458807488,0.000417206181398828,0.0005030856747507533
11.23046875,1.0,0.00025078829705643457,1.940701891807536e-08,5.775615263866556e-12,3.9924545432211774e-15,0.00012042871833504579,0.00014682854882538943,0.00016832376758831768,0.00020007445653210073,0.00022752793597070577,0.0002610544914793484,0.00028878506554325253,0.00032037610547654653,0.0004129732438816619
11.71875,1.0,0.00012758062367150829,4.138732888100886e-09,5.947605642396099e-13,2.0849266350090398e-16,6.532235199092548e-05,8.313660526818961e-05,9.314799851987146e-05,0.00010271354024613897,0.00011701576513241957,0.00012978355761445747,0.00014465145667262442,0.00016224876170636187,0.0002016572999208866
12.20703125,1.0,0.00010274058746999814,3.6568948540322586e-09,4.400259992669471e-13,1.0799844572187998e-16,4.661821198417173e-05,6.047695387240366e-05,7.13226131731918e-05,7.734165304475838e-05,8.655593017739416e-05,9.646614883954696e-05,0.00011130035854141414,0.00013814329906951345,0.00016324481784647438
12.6953125,1.0,9.4083570934706e-05,2.2282797947146596e-09,1.7212313027190875e-13,3.189875493168041e-17,4.718379457559142e-05,5.6052285664916206e-05,7.102851938354588e-05,7.703137738265297e-05,8.250887014455097e-05,9.35729855952207e-05,0.0001058942318817188,0.00011788378417690842,0.00014777432675701615
13.18359375,1.0,8.436010510071939e-05,2.4113081105173573e-09,2.2638950006025392e-13,5.2692675029042775e-17,3.651012860178338e-05,4.5657709110102905e-05,5.534558728992162e-05,6.064696301352772e-05,7.383716823622832e-05,8.258618268722563e-05,9.846780974297111e-05,0.00011144717544618841,0.00014353387508104034
13.671875,1.0,9.564070359428137e-05,2.5587118673025e-09,1.432680489212947e-13,2.7696137181964028e-17,4.2752342493274464e-05,5.480816238698459e-05,6.145708970028503e-05,7.04838155605782e-05,8.045681872374813e-05,9.386151285271144e-05,0.00011742316616588586,0.00013353744780652258,0.00016745070898429784
14.16015625,1.0,0.0001489162025662549,5.918668574339406e-09,6.792753586596437e-13,2.0562800851460175e-16,7.531593737348686e-05,8.942948902667685e-05,9.871980652723141e-05,0.00011827875109866781,0.00013299141611096242,0.00015122455687088492,0.0001700693226918896,0.00019718575304473996,0.00024093906834771553
14.6484375,1.0,0.00018221688337434792,8.24766860065834e-09,8.602118542611656e-13,2.8862857109083684e-16,8.816928336360202e-05,0.00010965213065207646,0.00012277449820151314,0.00014028738602394003,0.00016509152164460947,0.00018250266010246842,0.00020813855815796358,0.0002604943652655297,0.0002901353021750505
15.13671875,1.0,9.500402889007021e-05,1.468041985401341e-09,6.39693385906455e-14,1.0783643783154456e-17,5.411816126110699e-05,6.561396469467662e-05,7.172355421384805e-05,7.945791041885037e-05,8.660826018754911e-05,9.63400917506521e-05,0.00010519146939440952,0.0001233137507705426,0.00014121071666321034
