,unimodal,moment_1,moment_2,moment_3,moment_4,q10,q20,q30,q40,q50,q60,q70,q80,q90
0.48828125,0.0,65105323.506133474,1.0932802182263922e+18,2.8860528198763452e+28,8.36080014802948e+38,1134541.2738648795,1471584.0528930924,1818973.224920514,2169811.8746581096,2508819.941709215,2919828.5584948976,3613404.123509241,4885587.283930185,8673943.448290888
0.9765625,0.0,980981.4640968441,171342622914163.8,5.39451565280555e+22,1.9277551944659977e+31,35181.67601347092,45124.57625544683,53177.12298083332,61307.401994065745,70412.86165538993,79494.43715584176,89653.97575466077,102020.8779776318,125299.50591181642
1.46484375,0.0,145870.03240761094,4804920385226.192,2.9563789232731115e+20,1.9866978621440983e+28,4550.699467096325,6005.960921366784,7261.5552109625005,8467.180309301071,9969.668213492292,11333.621951475841,12692.664045544654,14786.951510002957,18332.831896283955
1.953125,0.0,35806.5217364398,156233492308.1912,1.2571137202629335e+18,1.2356826092551008e+25,1188.3157114080457,1624.67724033983,1983.517449047029,2386.525287908548,2722.5435536165755,3153.9409843158924,3590.7186073901817,4249.264546305469,5248.002821843401
2.44140625,0.0,13312.750296011722,16463669676.63393,3.3231555715166892e+16,8.282544625162721e+22,457.90655538441894,570.3846176260088,752.488650082409,925.682123168398,1101.1206605713153,1246.5720879153903,1424.603914590294,1689.236953994992,2174.971420747665
2.9296875,0.0,6409.891476339397,3373504026.6082325,2484368869327081.0,2.0902858739081533e+21,194.55657378737916,272.23717069972145,346.8543074451615,427.81972865763044,502.57985416332275,578.3464609427623,665.134915549589,800.6616020188181,985.5047476653816
3.41796875,0.0,4280.874513277599,1878303680.442206,1217570329650270.8,8.963424473134347e+20,140.80998819286796,185.71498461266026,225.19618798310194,254.07603463072988,289.72547622742604,337.4971705617273,380.3215336076681,449.37460751325614,560.4652503918065
3.90625,0.0,1611.8865245576394,193410987.00899485,37972735794083.56,8.700302622351681e+18,84.22242220356046,111.07181196688435,134.70605386664406,155.3873891364367,179.45225278203748,200.4280537114783,229.12810295665895,268.55751156221476,339.3809432575824
4.39453125,0.0,975.925564734704,61437676.40821647,6317771545374.666,7.628537707206833e+17,42.50028166844876,55.48050013715886,67.09156923760291,76.81022932944097,88.08027521015204,100.18230223403171,114.69725089440921,139.55581865471726,196.10761080799614
4.8828125,0.0,829.3613224285987,76077210.559835,15356588305706.367,3.6792035441335363e+18,27.488369449360878,36.216503560248356,42.72628720196184,49.13009660131524,56.19103462212526,64.36833724677805,73.68770857758986,90.99625721060566,139.957323143768
5.37109375,0.0,458.97962784997975,17787141.62864818,1154136169009.7095,9.17254406397371e+16,16.20019518261914,21.506410580990057,26.797943855532232,32.5871618903102,38.25402000740318,43.88724952061248,52.084436697141584,62.466890424437565,85.83949789326704
5.859375,1.0,948.7301067812388,508921403.9278745,368941590007859.5,2.7160784416159737e+20,9.659113884220226,14.604800475869709,18.6034645445097,22.592523281670562,26.632542265117745,31.002666376894258,35.477852849925185,40.590978329662015,51.310264291421596
6.34765625,0.0,1311.2638130370622,1152020341.1530368,1244327741889274.5,1.3700687075624805e+21,7.126888180860776,10.201641909576832,13.040414659468603,15.323440241023068,18.280366717349704,21.313123926823046,24.65618607985498,28.432495137673403,35.72804016917467
6.8359375,0.0,323.1141210435489,29874783.23777774,4580062564536.882,7.574869406901105e+17,4.903652399522666,6.974282912153818,9.654393939041217,11.672142584460108,13.451211606817598,15.590738191969093,17.799590398267867,20.696865678296312,26.523311139574197
7.32421875,0.0,151.96677464592048,2334101.7716176645,56282366940.08413,1586643884675189.8,3.937370568613676,5.575189160479578,7.52820753515339,9.247969787122804,10.574558764044339,12.205767444451775,13.975779612407036,16.220048364453838,20.472159189571702
7.8125,0.0,113.59768797094343,1364886.6828275572,25428731985.449993,554647023696715.8,2.7990236728522166,4.055432364252042,5.455025314696528,6.77125233682727,7.9769697413249645,9.061836856391311,10.22038976180476,11.91625952855365,15.004322710455815
8.30078125,0.0,66.10068655215935,428297.05281866115,4564441031.022275,55926811124897.234,2.0822387024127997,3.135774523810685,4.082127393307094,4.8000227853032245,5.705805550392287,6.642927251128898,7.566022557311113,8.74625468079618,11.546135944163927
8.7890625,0.0,47.93713907709028,250193.32616561925,2232882083.038791,22399123900034.15,1.8200232929486282,2.4992282222034414,3.199125277315017,3.8055803845002187,4.511273360810285,5.3268131056549946,6.051397471113515,7.1519997394745705,8.889285183054353
9.27734375,0.0,35.78980277082663,117080.66467077479,736048897.7465067,5835791607499.01,1.5692437569037367,2.1734851973283686,2.7099566645460116,3.318743102193318,3.731845168733074,4.371449242086065,5.0197440212152875,5.808745448602132,7.440269839134623
9.765625,0.0,27.52458707897073,46102.556261156584,103717545.31266168,251312681560.46368,1.1334190281297691,1.597376647908656,2.0635085391410932,2.4517816946018156,2.890572928436104,3.3177518626251348,3.8588228285162196,4.617105169485855,6.101294342410412
10.25390625,0.0,24.44672323768558,38151.27775185903,80711532.24708249,184682418966.4535,1.0343311609365795,1.349146222593716,1.683538300890565,1.9857266443390875,2.3602297909245515,2.73441060458308,3.0997259301003366,3.7667007617314208,4.954862031513439
10.7421875,0.0,26.455401741523136,57892.16908235053,179059174.76929483,604093843488.9796,0.959404822402046,1.2747131136917862,1.5082963873358752,1.7649798761917896,1.9905219876033542,2.241031282012638,2.5524636596802988,3.0749267942129386,4.158063976693268
11.23046875,0.0,33.76803568272228,131959.04528162788,853955169.8222932,6489093949915.973,0.9166858966202246,1.190838624820596,1.411342382131813,1.6012071787511413,1.8080547722621876,2.111844843696158,2.4136033539998865,2.9277949415642883,3.9730524711321324
